Destination,Days_Ago,Price,Departure_Date,Day_of_the_Week
Atlanta,1,159,10/8/2023,Sunday
Atlanta,2,83,10/8/2023,Sunday
Atlanta,3,83,10/8/2023,Sunday
Atlanta,4,83,10/8/2023,Sunday
Atlanta,5,77,10/8/2023,Sunday
Atlanta,6,39,10/8/2023,Sunday
Atlanta,7,39,10/8/2023,Sunday
Atlanta,8,39,10/8/2023,Sunday
Atlanta,9,39,10/8/2023,Sunday
Atlanta,10,77,10/8/2023,Sunday
Atlanta,11,77,10/8/2023,Sunday
Atlanta,12,77,10/8/2023,Sunday
Atlanta,13,69,10/8/2023,Sunday
Atlanta,14,68,10/8/2023,Sunday
Atlanta,15,65,10/8/2023,Sunday
Atlanta,16,65,10/8/2023,Sunday
Atlanta,17,65,10/8/2023,Sunday
Atlanta,18,65,10/8/2023,Sunday
Atlanta,19,65,10/8/2023,Sunday
Atlanta,20,49,10/8/2023,Sunday
Atlanta,21,49,10/8/2023,Sunday
Atlanta,22,49,10/8/2023,Sunday
Atlanta,23,49,10/8/2023,Sunday
Atlanta,24,49,10/8/2023,Sunday
Atlanta,25,49,10/8/2023,Sunday
Atlanta,26,49,10/8/2023,Sunday
Atlanta,27,59,10/8/2023,Sunday
Atlanta,28,59,10/8/2023,Sunday
Atlanta,29,59,10/8/2023,Sunday
Atlanta,30,59,10/8/2023,Sunday
Atlanta,31,59,10/8/2023,Sunday
Atlanta,32,59,10/8/2023,Sunday
Atlanta,33,59,10/8/2023,Sunday
Atlanta,34,59,10/8/2023,Sunday
Atlanta,35,59,10/8/2023,Sunday
Atlanta,36,59,10/8/2023,Sunday
Atlanta,37,59,10/8/2023,Sunday
Atlanta,38,59,10/8/2023,Sunday
Atlanta,39,59,10/8/2023,Sunday
Atlanta,40,59,10/8/2023,Sunday
Atlanta,41,59,10/8/2023,Sunday
Atlanta,42,59,10/8/2023,Sunday
Atlanta,43,59,10/8/2023,Sunday
Atlanta,44,59,10/8/2023,Sunday
Atlanta,45,59,10/8/2023,Sunday
Atlanta,46,59,10/8/2023,Sunday
Atlanta,47,59,10/8/2023,Sunday
Atlanta,48,59,10/8/2023,Sunday
Atlanta,49,59,10/8/2023,Sunday
Atlanta,50,59,10/8/2023,Sunday
Atlanta,51,59,10/8/2023,Sunday
Atlanta,52,59,10/8/2023,Sunday
Atlanta,53,59,10/8/2023,Sunday
Atlanta,54,59,10/8/2023,Sunday
Atlanta,55,59,10/8/2023,Sunday
Atlanta,56,59,10/8/2023,Sunday
Atlanta,57,59,10/8/2023,Sunday
Atlanta,58,59,10/8/2023,Sunday
Atlanta,59,59,10/8/2023,Sunday
Atlanta,60,59,10/8/2023,Sunday
Austin,1,259,10/8/2023,Sunday
Austin,2,259,10/8/2023,Sunday
Austin,3,259,10/8/2023,Sunday
Austin,4,259,10/8/2023,Sunday
Austin,5,259,10/8/2023,Sunday
Austin,6,164,10/8/2023,Sunday
Austin,7,164,10/8/2023,Sunday
Austin,8,164,10/8/2023,Sunday
Austin,9,164,10/8/2023,Sunday
Austin,10,164,10/8/2023,Sunday
Austin,11,164,10/8/2023,Sunday
Austin,12,164,10/8/2023,Sunday
Austin,13,149,10/8/2023,Sunday
Austin,14,149,10/8/2023,Sunday
Austin,15,149,10/8/2023,Sunday
Austin,16,149,10/8/2023,Sunday
Austin,17,149,10/8/2023,Sunday
Austin,18,149,10/8/2023,Sunday
Austin,19,149,10/8/2023,Sunday
Austin,20,139,10/8/2023,Sunday
Austin,21,139,10/8/2023,Sunday
Austin,22,139,10/8/2023,Sunday
Austin,23,139,10/8/2023,Sunday
Austin,24,139,10/8/2023,Sunday
Austin,25,129,10/8/2023,Sunday
Austin,26,129,10/8/2023,Sunday
Austin,27,129,10/8/2023,Sunday
Austin,28,129,10/8/2023,Sunday
Austin,29,129,10/8/2023,Sunday
Austin,30,119,10/8/2023,Sunday
Austin,31,119,10/8/2023,Sunday
Austin,32,119,10/8/2023,Sunday
Austin,33,119,10/8/2023,Sunday
Austin,34,119,10/8/2023,Sunday
Austin,35,119,10/8/2023,Sunday
Austin,36,119,10/8/2023,Sunday
Austin,37,119,10/8/2023,Sunday
Austin,38,119,10/8/2023,Sunday
Austin,39,119,10/8/2023,Sunday
Austin,40,119,10/8/2023,Sunday
Austin,41,119,10/8/2023,Sunday
Austin,42,119,10/8/2023,Sunday
Austin,43,119,10/8/2023,Sunday
Austin,44,119,10/8/2023,Sunday
Austin,45,119,10/8/2023,Sunday
Austin,46,129,10/8/2023,Sunday
Austin,47,129,10/8/2023,Sunday
Austin,48,119,10/8/2023,Sunday
Austin,49,119,10/8/2023,Sunday
Austin,50,129,10/8/2023,Sunday
Austin,51,129,10/8/2023,Sunday
Austin,52,129,10/8/2023,Sunday
Austin,53,129,10/8/2023,Sunday
Austin,54,129,10/8/2023,Sunday
Austin,55,119,10/8/2023,Sunday
Austin,56,119,10/8/2023,Sunday
