Destination,Days_Ago,Price,Departure_Date,Day_of_the_Week
Atlanta,1,159,10/23/2023,Monday
Atlanta,2,122,10/23/2023,Monday
Atlanta,3,119,10/23/2023,Monday
Atlanta,4,119,10/23/2023,Monday
Atlanta,5,119,10/23/2023,Monday
Atlanta,6,39,10/23/2023,Monday
Atlanta,7,39,10/23/2023,Monday
Atlanta,8,39,10/23/2023,Monday
Atlanta,9,39,10/23/2023,Monday
Atlanta,10,39,10/23/2023,Monday
Atlanta,11,39,10/23/2023,Monday
Atlanta,12,39,10/23/2023,Monday
Atlanta,13,39,10/23/2023,Monday
Atlanta,14,49,10/23/2023,Monday
Atlanta,15,49,10/23/2023,Monday
Atlanta,16,41,10/23/2023,Monday
Atlanta,17,41,10/23/2023,Monday
Atlanta,18,41,10/23/2023,Monday
Atlanta,19,41,10/23/2023,Monday
Atlanta,20,39,10/23/2023,Monday
Atlanta,21,39,10/23/2023,Monday
Atlanta,22,39,10/23/2023,Monday
Atlanta,23,39,10/23/2023,Monday
Atlanta,24,39,10/23/2023,Monday
Atlanta,25,39,10/23/2023,Monday
Atlanta,26,39,10/23/2023,Monday
Atlanta,27,39,10/23/2023,Monday
Atlanta,28,39,10/23/2023,Monday
Atlanta,29,39,10/23/2023,Monday
Atlanta,30,39,10/23/2023,Monday
Atlanta,31,39,10/23/2023,Monday
Atlanta,32,39,10/23/2023,Monday
Atlanta,33,39,10/23/2023,Monday
Atlanta,34,39,10/23/2023,Monday
Atlanta,35,39,10/23/2023,Monday
Atlanta,36,39,10/23/2023,Monday
Atlanta,37,39,10/23/2023,Monday
Atlanta,38,39,10/23/2023,Monday
Atlanta,39,39,10/23/2023,Monday
Atlanta,40,39,10/23/2023,Monday
Atlanta,41,19,10/23/2023,Monday
Atlanta,42,19,10/23/2023,Monday
Atlanta,43,19,10/23/2023,Monday
Atlanta,44,19,10/23/2023,Monday
Atlanta,45,19,10/23/2023,Monday
Atlanta,46,19,10/23/2023,Monday
Atlanta,47,19,10/23/2023,Monday
Atlanta,48,19,10/23/2023,Monday
Atlanta,49,19,10/23/2023,Monday
Atlanta,50,44,10/23/2023,Monday
Atlanta,51,44,10/23/2023,Monday
Atlanta,52,44,10/23/2023,Monday
Atlanta,53,44,10/23/2023,Monday
Atlanta,54,44,10/23/2023,Monday
Atlanta,55,44,10/23/2023,Monday
Atlanta,56,44,10/23/2023,Monday
Atlanta,57,49,10/23/2023,Monday
Atlanta,58,49,10/23/2023,Monday
Atlanta,59,49,10/23/2023,Monday
Atlanta,60,44,10/23/2023,Monday
Austin,1,259,10/23/2023,Monday
Austin,2,259,10/23/2023,Monday
Austin,3,235,10/23/2023,Monday
Austin,4,235,10/23/2023,Monday
Austin,5,200,10/23/2023,Monday
Austin,6,174,10/23/2023,Monday
Austin,7,174,10/23/2023,Monday
Austin,8,174,10/23/2023,Monday
Austin,9,174,10/23/2023,Monday
Austin,10,174,10/23/2023,Monday
Austin,11,174,10/23/2023,Monday
Austin,12,174,10/23/2023,Monday
Austin,13,159,10/23/2023,Monday
Austin,14,159,10/23/2023,Monday
Austin,15,159,10/23/2023,Monday
Austin,16,159,10/23/2023,Monday
Austin,17,159,10/23/2023,Monday
Austin,18,159,10/23/2023,Monday
Austin,19,159,10/23/2023,Monday
Austin,20,139,10/23/2023,Monday
Austin,21,129,10/23/2023,Monday
Austin,22,129,10/23/2023,Monday
Austin,23,129,10/23/2023,Monday
Austin,24,129,10/23/2023,Monday
Austin,25,129,10/23/2023,Monday
Austin,26,129,10/23/2023,Monday
Austin,27,129,10/23/2023,Monday
Austin,28,129,10/23/2023,Monday
Austin,29,119,10/23/2023,Monday
Austin,30,119,10/23/2023,Monday
Austin,31,119,10/23/2023,Monday
Austin,32,119,10/23/2023,Monday
Austin,33,119,10/23/2023,Monday
