Destination,Days_Ago,Price,Departure_Date,Day_of_the_Week
Atlanta,1,109,10/18/2023,Wednesday
Atlanta,2,109,10/18/2023,Wednesday
Atlanta,3,109,10/18/2023,Wednesday
Atlanta,4,109,10/18/2023,Wednesday
Atlanta,5,109,10/18/2023,Wednesday
Atlanta,6,29,10/18/2023,Wednesday
Atlanta,7,29,10/18/2023,Wednesday
Atlanta,8,29,10/18/2023,Wednesday
Atlanta,9,39,10/18/2023,Wednesday
Atlanta,10,39,10/18/2023,Wednesday
Atlanta,11,39,10/18/2023,Wednesday
Atlanta,12,39,10/18/2023,Wednesday
Atlanta,13,39,10/18/2023,Wednesday
Atlanta,14,39,10/18/2023,Wednesday
Atlanta,15,39,10/18/2023,Wednesday
Atlanta,16,39,10/18/2023,Wednesday
Atlanta,17,39,10/18/2023,Wednesday
Atlanta,18,39,10/18/2023,Wednesday
Atlanta,19,39,10/18/2023,Wednesday
Atlanta,20,29,10/18/2023,Wednesday
Atlanta,21,29,10/18/2023,Wednesday
Atlanta,22,29,10/18/2023,Wednesday
Atlanta,23,29,10/18/2023,Wednesday
Atlanta,24,29,10/18/2023,Wednesday
Atlanta,25,29,10/18/2023,Wednesday
Atlanta,26,29,10/18/2023,Wednesday
Atlanta,27,29,10/18/2023,Wednesday
Atlanta,28,29,10/18/2023,Wednesday
Atlanta,29,19,10/18/2023,Wednesday
Atlanta,30,19,10/18/2023,Wednesday
Atlanta,31,19,10/18/2023,Wednesday
Atlanta,32,19,10/18/2023,Wednesday
Atlanta,33,19,10/18/2023,Wednesday
Atlanta,34,19,10/18/2023,Wednesday
Atlanta,35,19,10/18/2023,Wednesday
Atlanta,36,19,10/18/2023,Wednesday
Atlanta,37,19,10/18/2023,Wednesday
Atlanta,38,19,10/18/2023,Wednesday
Atlanta,39,19,10/18/2023,Wednesday
Atlanta,40,19,10/18/2023,Wednesday
Atlanta,41,19,10/18/2023,Wednesday
Atlanta,42,19,10/18/2023,Wednesday
Atlanta,43,19,10/18/2023,Wednesday
Atlanta,44,19,10/18/2023,Wednesday
Atlanta,45,34,10/18/2023,Wednesday
Atlanta,46,34,10/18/2023,Wednesday
Atlanta,47,29,10/18/2023,Wednesday
Atlanta,48,29,10/18/2023,Wednesday
Atlanta,49,29,10/18/2023,Wednesday
Atlanta,50,29,10/18/2023,Wednesday
Atlanta,51,29,10/18/2023,Wednesday
Atlanta,52,34,10/18/2023,Wednesday
Atlanta,53,34,10/18/2023,Wednesday
Atlanta,54,29,10/18/2023,Wednesday
Atlanta,55,29,10/18/2023,Wednesday
Atlanta,56,29,10/18/2023,Wednesday
Atlanta,57,29,10/18/2023,Wednesday
Atlanta,58,29,10/18/2023,Wednesday
Atlanta,59,29,10/18/2023,Wednesday
Atlanta,60,29,10/18/2023,Wednesday
Austin,1,200,10/18/2023,Wednesday
Austin,2,200,10/18/2023,Wednesday
Austin,3,200,10/18/2023,Wednesday
Austin,4,200,10/18/2023,Wednesday
Austin,5,200,10/18/2023,Wednesday
Austin,6,174,10/18/2023,Wednesday
Austin,7,174,10/18/2023,Wednesday
Austin,8,174,10/18/2023,Wednesday
Austin,9,174,10/18/2023,Wednesday
Austin,10,174,10/18/2023,Wednesday
Austin,11,174,10/18/2023,Wednesday
Austin,12,174,10/18/2023,Wednesday
Austin,13,159,10/18/2023,Wednesday
Austin,14,159,10/18/2023,Wednesday
Austin,15,159,10/18/2023,Wednesday
Austin,16,149,10/18/2023,Wednesday
Austin,17,149,10/18/2023,Wednesday
Austin,18,149,10/18/2023,Wednesday
Austin,19,149,10/18/2023,Wednesday
Austin,20,129,10/18/2023,Wednesday
Austin,21,129,10/18/2023,Wednesday
Austin,22,129,10/18/2023,Wednesday
Austin,23,129,10/18/2023,Wednesday
Austin,24,129,10/18/2023,Wednesday
Austin,25,129,10/18/2023,Wednesday
Austin,26,129,10/18/2023,Wednesday
Austin,27,129,10/18/2023,Wednesday
Austin,28,129,10/18/2023,Wednesday
Austin,29,129,10/18/2023,Wednesday
Austin,30,119,10/18/2023,Wednesday
Austin,31,119,10/18/2023,Wednesday
Austin,32,129,10/18/2023,Wednesday
Austin,33,129,10/18/2023,Wednesday
Austin,34,129,10/18/2023,Wednesday
Austin,35,129,10/18/2023,Wednesday
Austin,36,129,10/18/2023,Wednesday
Austin,37,129,10/18/2023,Wednesday
Austin,38,129,10/18/2023,Wednesday
Austin,39,119,10/18/2023,Wednesday
Austin,40,119,10/18/2023,Wednesday
Austin,41,119,10/18/2023,Wednesday
Austin,42,129,10/18/2023,Wednesday
Austin,43,129,10/18/2023,Wednesday
Austin,44,129,10/18/2023,Wednesday
Austin,45,129,10/18/2023,Wednesday
Austin,46,129,10/18/2023,Wednesday
Austin,47,119,10/18/2023,Wednesday
Austin,48,119,10/18/2023,Wednesday
Austin,49,129,10/18/2023,Wednesday
Austin,50,129,10/18/2023,Wednesday
Austin,51,129,10/18/2023,Wednesday
Austin,52,119,10/18/2023,Wednesday
Austin,53,119,10/18/2023,Wednesday
Austin,54,129,10/18/2023,Wednesday
Austin,55,129,10/18/2023,Wednesday
Austin,56,129,10/18/2023,Wednesday
Austin,57,129,10/18/2023,Wednesday
