Destination,Days_Ago,Price,Departure_Date,Day_of_the_Week
Atlanta,1,159,10/26/2023,Thursday
Atlanta,2,52,10/26/2023,Thursday
Atlanta,3,52,10/26/2023,Thursday
Atlanta,4,52,10/26/2023,Thursday
Atlanta,5,52,10/26/2023,Thursday
Atlanta,6,39,10/26/2023,Thursday
Atlanta,7,39,10/26/2023,Thursday
Atlanta,8,39,10/26/2023,Thursday
Atlanta,9,39,10/26/2023,Thursday
Atlanta,10,39,10/26/2023,Thursday
Atlanta,11,39,10/26/2023,Thursday
Atlanta,12,39,10/26/2023,Thursday
Atlanta,13,39,10/26/2023,Thursday
Atlanta,14,39,10/26/2023,Thursday
Atlanta,15,39,10/26/2023,Thursday
Atlanta,16,39,10/26/2023,Thursday
Atlanta,17,49,10/26/2023,Thursday
Atlanta,18,49,10/26/2023,Thursday
Atlanta,19,41,10/26/2023,Thursday
Atlanta,20,39,10/26/2023,Thursday
Atlanta,21,39,10/26/2023,Thursday
Atlanta,22,39,10/26/2023,Thursday
Atlanta,23,39,10/26/2023,Thursday
Atlanta,24,39,10/26/2023,Thursday
Atlanta,25,39,10/26/2023,Thursday
Atlanta,26,39,10/26/2023,Thursday
Atlanta,27,39,10/26/2023,Thursday
Atlanta,28,39,10/26/2023,Thursday
Atlanta,29,39,10/26/2023,Thursday
Atlanta,30,39,10/26/2023,Thursday
Atlanta,31,39,10/26/2023,Thursday
Atlanta,32,39,10/26/2023,Thursday
Atlanta,33,39,10/26/2023,Thursday
Atlanta,34,39,10/26/2023,Thursday
Atlanta,35,39,10/26/2023,Thursday
Atlanta,36,39,10/26/2023,Thursday
Atlanta,37,39,10/26/2023,Thursday
Atlanta,38,39,10/26/2023,Thursday
Atlanta,39,39,10/26/2023,Thursday
Atlanta,40,39,10/26/2023,Thursday
Atlanta,41,39,10/26/2023,Thursday
Atlanta,42,39,10/26/2023,Thursday
Atlanta,43,39,10/26/2023,Thursday
Atlanta,44,19,10/26/2023,Thursday
Atlanta,45,19,10/26/2023,Thursday
Atlanta,46,19,10/26/2023,Thursday
Atlanta,47,19,10/26/2023,Thursday
Atlanta,48,19,10/26/2023,Thursday
Atlanta,49,19,10/26/2023,Thursday
Atlanta,50,19,10/26/2023,Thursday
Atlanta,51,19,10/26/2023,Thursday
Atlanta,52,19,10/26/2023,Thursday
Atlanta,53,34,10/26/2023,Thursday
Atlanta,54,34,10/26/2023,Thursday
Atlanta,55,34,10/26/2023,Thursday
Atlanta,56,34,10/26/2023,Thursday
Atlanta,57,39,10/26/2023,Thursday
Atlanta,58,39,10/26/2023,Thursday
Atlanta,59,44,10/26/2023,Thursday
Atlanta,60,44,10/26/2023,Thursday
Austin,1,259,10/26/2023,Thursday
Austin,2,259,10/26/2023,Thursday
Austin,3,259,10/26/2023,Thursday
Austin,4,259,10/26/2023,Thursday
Austin,5,259,10/26/2023,Thursday
Austin,6,174,10/26/2023,Thursday
Austin,7,174,10/26/2023,Thursday
Austin,8,174,10/26/2023,Thursday
Austin,9,174,10/26/2023,Thursday
Austin,10,174,10/26/2023,Thursday
Austin,11,174,10/26/2023,Thursday
Austin,12,174,10/26/2023,Thursday
Austin,13,159,10/26/2023,Thursday
Austin,14,159,10/26/2023,Thursday
Austin,15,159,10/26/2023,Thursday
Austin,16,159,10/26/2023,Thursday
Austin,17,159,10/26/2023,Thursday
Austin,18,159,10/26/2023,Thursday
Austin,19,159,10/26/2023,Thursday
Austin,20,139,10/26/2023,Thursday
Austin,21,139,10/26/2023,Thursday
Austin,22,139,10/26/2023,Thursday
Austin,23,139,10/26/2023,Thursday
Austin,24,129,10/26/2023,Thursday
Austin,25,129,10/26/2023,Thursday
Austin,26,129,10/26/2023,Thursday
Austin,27,89,10/26/2023,Thursday
Austin,28,129,10/26/2023,Thursday
Austin,29,119,10/26/2023,Thursday
Austin,30,119,10/26/2023,Thursday
Austin,31,119,10/26/2023,Thursday
Austin,32,119,10/26/2023,Thursday
Austin,33,119,10/26/2023,Thursday
Austin,34,119,10/26/2023,Thursday
Austin,35,119,10/26/2023,Thursday
Austin,36,119,10/26/2023,Thursday
Austin,37,119,10/26/2023,Thursday
Austin,38,119,10/26/2023,Thursday
Austin,39,119,10/26/2023,Thursday
Austin,40,119,10/26/2023,Thursday
Austin,41,119,10/26/2023,Thursday
Austin,42,119,10/26/2023,Thursday
Austin,43,119,10/26/2023,Thursday
Austin,44,119,10/26/2023,Thursday
Austin,45,119,10/26/2023,Thursday
Austin,46,119,10/26/2023,Thursday
Austin,47,119,10/26/2023,Thursday
Austin,48,119,10/26/2023,Thursday
Austin,49,119,10/26/2023,Thursday
Austin,50,119,10/26/2023,Thursday
Austin,51,119,10/26/2023,Thursday
Austin,52,119,10/26/2023,Thursday
Austin,53,119,10/26/2023,Thursday
Austin,54,119,10/26/2023,Thursday
Austin,55,119,10/26/2023,Thursday
Austin,56,119,10/26/2023,Thursday
Austin,57,119,10/26/2023,Thursday
Austin,58,119,10/26/2023,Thursday
Austin,59,119,10/26/2023,Thursday
Austin,60,119,10/26/2023,Thursday
Boston,1,264,10/26/2023,Thursday
Boston,2,204,10/26/2023,Thursday
Boston,3,204,10/26/2023,Thursday
Boston,4,204,10/26/2023,Thursday
Boston,5,204,10/26/2023,Thursday
Boston,6,154,10/26/2023,Thursday
Boston,7,154,10/26/2023,Thursday
Boston,8,154,10/26/2023,Thursday
Boston,9,154,10/26/2023,Thursday
Boston,10,154,10/26/2023,Thursday
Boston,11,154,10/26/2023,Thursday
Boston,12,154,10/26/2023,Thursday
Boston,13,59,10/26/2023,Thursday
Boston,14,59,10/26/2023,Thursday
Boston,15,59,10/26/2023,Thursday
Boston,16,59,10/26/2023,Thursday
Boston,17,59,10/26/2023,Thursday
Boston,18,134,10/26/2023,Thursday
Boston,19,134,10/26/2023,Thursday
Boston,20,134,10/26/2023,Thursday
Boston,21,89,10/26/2023,Thursday
Boston,22,89,10/26/2023,Thursday
Boston,23,79,10/26/2023,Thursday
Boston,24,79,10/26/2023,Thursday
Boston,25,79,10/26/2023,Thursday
Boston,26,79,10/26/2023,Thursday
Boston,27,69,10/26/2023,Thursday
Boston,28,69,10/26/2023,Thursday
Boston,29,69,10/26/2023,Thursday
Boston,30,69,10/26/2023,Thursday
Boston,31,69,10/26/2023,Thursday
Boston,32,79,10/26/2023,Thursday
Boston,33,79,10/26/2023,Thursday
Boston,34,79,10/26/2023,Thursday
Boston,35,79,10/26/2023,Thursday
Boston,36,79,10/26/2023,Thursday
Boston,37,79,10/26/2023,Thursday
Boston,38,79,10/26/2023,Thursday
